pitcher,player_name,p_throws,delta_in,d_stuff_L,d_stuff_R,n_L,n_R,w_lhh,d_stuff_wtd,room_fb,room_tb,rel_own_p95,feasible,in_support
453286,"Scherzer, Max",R,-36,7.08733688613883,22.7152767963789,232,147,0.642105263157895,12.6804943276985,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-35,6.79648412434002,22.1281390451124,232,147,0.642105263157895,12.2836027275638,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-34,6.49582761782242,21.3958471923524,232,147,0.642105263157895,11.828466202391,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-33,6.24301511330656,20.7801703373558,232,147,0.642105263157895,11.4457864566505,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-32,6.01472052208958,19.928094878609,232,147,0.642105263157895,10.9942439760018,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-31,5.73584614041719,19.1235160255128,232,147,0.642105263157895,10.5272227308725,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-30,5.44078584669385,18.5379494111064,232,147,0.642105263157895,10.1281917539573,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-29,5.13900308945271,17.7008012715801,232,147,0.642105263157895,9.63480454410883,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-28,4.73847586812059,17.171589464993,232,147,0.642105263157895,9.18822178700124,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-27,4.46776563124126,16.408679708462,232,147,0.642105263157895,8.74135593256235,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-26,4.20938258480045,15.7824660059716,232,147,0.642105263157895,8.35132823027223,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-25,4.03055598107341,14.7634204877044,232,147,0.642105263157895,7.87179169923607,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-24,3.85238605452138,13.9891387244524,232,147,0.642105263157895,7.48027648375986,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-23,3.61564018601664,12.9895995725351,232,147,0.642105263157895,6.97053091382323,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-22,3.35516570472885,12.025724914147,232,147,0.642105263157895,6.45831321125743,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-21,3.21046866120162,10.7659023434409,232,147,0.642105263157895,5.91451861063464,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-20,3.08067811764756,10.1426523503781,232,147,0.642105263157895,5.60812152725638,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-19,2.83263988101678,8.80648825576919,232,147,0.642105263157895,4.97064877303343,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-18,2.62677017720256,7.994746131797,232,147,0.642105263157895,4.54794051884689,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-17,2.41965046629682,7.00032276956145,232,147,0.642105263157895,4.05904897483363,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-16,2.19105841053373,6.28189266157291,232,147,0.642105263157895,3.65514645827406,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-15,1.848687351617,5.5824939713741,232,147,0.642105263157895,3.18499708921428,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-14,1.646831819116,4.79343698931601,232,147,0.642105263157895,2.77298524845074,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-13,1.41590329826816,4.11491317467845,232,147,0.642105263157895,2.38186472772026,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-12,1.13499691666041,3.58688194014413,232,147,0.642105263157895,2.01251366190721,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-11,0.794910472089234,2.94644238617346,232,147,0.642105263157895,1.5649324202878,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-10,0.587177035370574,2.38417163463365,232,147,0.642105263157895,1.23031194458052,26.5157818933756,9.48421810662443,1.893,FALSE,FALSE
453286,"Scherzer, Max",R,-9,0.462942110186195,1.72523479005396,232,147,0.642105263157895,0.914710016665184,26.5157818933756,9.48421810662443,1.893,TRUE,FALSE
453286,"Scherzer, Max",R,-8,0.310234830784155,1.49300903066185,232,147,0.642105263157895,0.733543491793015,26.5157818933756,9.48421810662443,1.893,TRUE,FALSE
