pitcher,player_name,p_throws,pt,n_pt,wt,best_delta_in,compromise_gain,at_comp,own_best,own_delta,contrib
605135,"Bassitt, Chris",R,CU,117,0.25,-13,2.14076842487537,7.51975707377168,7.51975707377168,-13,1.87993926844292
605135,"Bassitt, Chris",R,FC,97,0.207264957264957,-13,2.14076842487537,0.0138500622638181,0.0531328088893435,-3,0.00287063256322726
605135,"Bassitt, Chris",R,SI,178,0.38034188034188,-13,2.14076842487537,-0.235807927638943,0,0,-0.0896876305977178
640455,"Manaea, Sean",L,ST,266,0.288816503800217,13,1.82113973101487,4.17617381849311,4.17617381849311,13,1.20614792151918
640455,"Manaea, Sean",L,FC,71,0.0770901194353963,13,1.82113973101487,4.75769169221994,4.75769169221994,13,0.366771020790028
640455,"Manaea, Sean",L,FF,379,0.411509229098806,13,1.82113973101487,0.462971280711661,0.462971280711661,13,0.190516954820543
640455,"Manaea, Sean",L,SI,173,0.187839305103149,13,1.82113973101487,-0.029660349042102,0.021303125477151,1,-0.00557137935318528
621381,"Strahm, Matt",L,FF,112,0.434108527131783,20,1.78461167974639,1.52478173711119,1.52478173711119,20,0.661920754094779
621381,"Strahm, Matt",L,SL,62,0.24031007751938,20,1.78461167974639,2.2539818987003,2.2539818987003,20,0.541654564803948
657044,"Thompson, Ryan",R,SL,80,0.306513409961686,-3,1.65734684034228,4.64481397305143,4.64481397305143,-3,1.42369776951768
657044,"Thompson, Ryan",R,SI,171,0.655172413793103,-3,1.65734684034228,0.259701398139173,0.259701398139173,-3,0.170149191884286
670990,"Ramírez, Yohan",R,ST,147,0.360294117647059,-17,1.65475705915654,2.75198608448415,2.75198608448415,-17,0.991524398086201
670990,"Ramírez, Yohan",R,CU,40,0.0980392156862745,-17,1.65475705915654,3.99522408124294,3.99522408124294,-17,0.391688635415975
670990,"Ramírez, Yohan",R,FF,108,0.264705882352941,-17,1.65475705915654,0.557907349499245,0.557907349499245,-17,0.147681357220388
670990,"Ramírez, Yohan",R,SI,112,0.274509803921569,-17,1.65475705915654,0.436439389838448,1.04803579167943,17,0.119806891328201
593974,"Peralta, Wandy",L,CH,147,0.347517730496454,-12,1.52004274332902,3.48643787898908,3.48643787898908,-12,1.21159897922316
593974,"Peralta, Wandy",L,SI,175,0.41371158392435,-12,1.52004274332902,0.688184286990215,0.688184286990215,-12,0.284709811402571
593974,"Peralta, Wandy",L,SL,62,0.146572104018913,-12,1.52004274332902,-0.794229112844179,1.50929965895238,14,-0.116411832142646
668873,"Kilian, Caleb",R,CU,67,0.203030303030303,-12,1.38627316782208,5.04443998852564,5.04443998852564,-12,1.02417417948854
668873,"Kilian, Caleb",R,SL,49,0.148484848484848,-12,1.38627316782208,2.83565099571966,2.83565099571966,-12,0.421051208455344
668873,"Kilian, Caleb",R,SI,41,0.124242424242424,-12,1.38627316782208,-0.0442746762376962,0.243228632982987,13,-0.00550079310831984
668873,"Kilian, Caleb",R,FF,173,0.524242424242424,-12,1.38627316782208,-0.101959369447694,0.00754932098239154,1,-0.0534514270134882
662253,"Muñoz, Andrés",R,SL,132,0.481751824817518,-8,1.25298584515327,2.32689581762668,2.32689581762668,-8,1.1209863063019
662253,"Muñoz, Andrés",R,FF,116,0.423357664233577,-8,1.25298584515327,0.030950359235263,0.030950359235263,-8,0.0131030717930311
682052,"Lopez, Jacob",L,SL,252,0.357446808510638,3,1.11087902712925,2.92147371879326,2.92147371879326,3,1.04427145693036
682052,"Lopez, Jacob",L,FC,147,0.208510638297872,3,1.11087902712925,0.392208674530694,0.392208674530694,3,0.0817796810723575
682052,"Lopez, Jacob",L,FF,221,0.313475177304965,3,1.11087902712925,-0.015130098210065,0.00962046833822549,2,-0.00474291021904165
682052,"Lopez, Jacob",L,CH,62,0.0879432624113475,3,1.11087902712925,-0.53069038847325,0.372923827771654,-3,-0.046670644092683
607455,"Banda, Anthony",L,SL,94,0.405172413793103,9,1.06813389624002,2.15919661963641,2.15919661963641,9,0.874846906231993
607455,"Banda, Anthony",L,FF,60,0.258620689655172,9,1.06813389624002,0.290019791678161,0.290019791678161,9,0.0750051185374555
607455,"Banda, Anthony",L,SI,66,0.28448275862069,9,1.06813389624002,0.221572536762004,0.221572536762004,9,0.063033566492639
701519,"Adams, Travis",R,CH,58,0.262443438914027,17,1.06788704754711,3.49310361396289,3.68233538536244,18,0.916742124931436
701519,"Adams, Travis",R,FF,61,0.276018099547511,17,1.06788704754711,0.510303710628849,0.562118013607613,18,0.140853060399818
701519,"Adams, Travis",R,FC,46,0.208144796380091,17,1.06788704754711,0.515931069968704,1.01121869664335,-10,0.107388367504798
