pt,p_throws,delta_3b_in,d_stuff,n
FS,R,-9,0.220031525897521,6921
ST,R,-9,-1.00874030821524,12577
CU,L,-9,1.3009202673108,4418
SI,L,-9,0.0273812114953478,11579
ST,L,-9,0.884116167547851,4904
FF,L,-9,0.161246459495253,21223
CH,L,-9,-0.0822975552631585,9928
SL,L,-9,1.66241800158295,8724
FC,L,-9,1.09346362224109,4405
FS,L,-9,0.820128299498476,781
SI,R,-10,0.236263465588807,25818
FC,R,-10,-0.326507831503861,13054
SL,R,-10,-0.958584990475794,20362
CU,R,-10,-0.222505116769782,11619
FF,R,-10,0.0100525634089175,52611
CH,R,-10,0.57939457882413,16724
FS,R,-10,0.323729116164028,6921
ST,R,-10,-1.05166641506142,12577
